State,#,||,!=,),(,return,},=,main,-,%,const,int,,,<,&&,;,if,{,else,IntConst,$,Ident,void,floatConst,float,+,!,==,/,<=,>,*,>=
160,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
159,"error","error","error","error","r42","r42","r42","error","error","r42","error","r42","r42","error","error","error","r42","r42","r42","r42","r42","error","r42","error","r42","r42","r42","r42","error","error","error","error","error","error"
158,"error","error","error","error","error","error","r31","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
157,"error","error","error","error","error","error","r30","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
156,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
155,"r29","error","error","error","r29","r29","r29","error","error","r29","error","r29","r29","error","error","error","r29","r29","r29","r29","r29","error","r29","r29","r29","r29","r29","r29","error","error","error","error","error","error"
154,"error","error","error","r93","error","error","error","error","error","error","error","error","error","r93","error","error","r93","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
153,"error","r90","error","r90","error","error","error","error","error","error","error","error","error","r90","error","error","r90","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
152,"error","r76","r76","r76","error","error","error","error","error","error","error","error","error","r76","r76","r76","r76","error","error","error","error","error","error","error","error","error","error","error","r76","error","r76","r76","error","r76"
151,"error","r77","r77","r77","error","error","error","error","error","error","error","error","error","r77","r77","r77","r77","error","error","error","error","error","error","error","error","error","error","error","r77","error","r77","r77","error","r77"
150,"error","r80","r80","r80","error","error","error","error","error","error","error","error","error","r80","error","r80","r80","error","error","error","error","error","error","error","error","error","error","error","r80","error","error","error","error","error"
149,"error","r81","r81","r81","error","error","error","error","error","error","error","error","error","r81","error","r81","r81","error","error","error","error","error","error","error","error","error","error","error","r81","error","error","error","error","error"
148,"error","r83","r83","r83","error","error","error","error","error","error","error","error","error","r83","error","r83","r83","error","error","error","error","error","error","error","error","error","error","error","r83","error","error","error","error","error"
147,"error","r82","r82","r82","error","error","error","error","error","error","error","error","error","r82","error","r82","r82","error","error","error","error","error","error","error","error","error","error","error","r82","error","error","error","error","error"
146,"error","r87","error","r87","error","error","error","error","error","error","error","error","error","r87","error","r87","r87","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
145,"error","r86","error","r86","error","error","error","error","error","error","error","error","error","r86","error","r86","r86","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
144,"error","r59","r59","r59","error","error","error","error","error","r59","r59","error","error","r59","r59","r59","r59","error","error","error","error","error","error","error","error","error","r59","error","r59","r59","r59","r59","r59","r59"
143,"error","error","error","r61","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
142,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
