State,#,||,!=,),(,return,},=,main,-,%,const,int,,,<,&&,;,if,{,else,IntConst,$,Ident,void,floatConst,float,+,!,==,/,<=,>,*,>=
103,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","r7","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
104,"r20","error","error","error","error","error","error","error","error","error","error","r20","r20","error","error","error","error","error","error","error","error","error","error","r20","error","r20","error","error","error","error","error","error","error","error"
105,"error","r74","r74","r74","error","error","error","error","error","r74","s75","error","error","r74","r74","r74","r74","error","error","error","error","error","error","error","error","error","r74","error","r74","s76","r74","r74","s74","r74"
106,"error","r74","r74","r74","error","error","error","error","error","r74","s75","error","error","r74","r74","r74","r74","error","error","error","error","error","error","error","error","error","r74","error","r74","s76","r74","r74","s74","r74"
107,"error","r74","r74","r74","error","error","error","error","error","r74","s75","error","error","r74","r74","r74","r74","error","error","error","error","error","error","error","error","error","r74","error","r74","s76","r74","r74","s74","r74"
108,"error","error","error","r65","error","error","error","error","error","error","error","error","error","s142","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
109,"error","error","error","s144","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
110,"error","r60","r60","r60","error","error","error","error","error","r60","r60","error","error","r60","r60","r60","r60","error","error","error","error","error","error","error","error","error","r60","error","r60","r60","r60","r60","r60","r60"
111,"error","error","error","r63","error","error","error","error","error","error","error","error","error","r63","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
112,"error","r88","s82","r88","error","error","error","error","error","error","error","error","error","r88","error","r88","r88","error","error","error","error","error","error","error","error","error","error","error","s80","error","error","error","error","error"
113,"error","r84","r84","r84","error","error","error","error","error","error","error","error","error","r84","s87","r84","r84","error","error","error","error","error","error","error","error","error","error","error","r84","error","s84","s86","error","s85"
114,"error","r88","s82","r88","error","error","error","error","error","error","error","error","error","r88","error","r88","r88","error","error","error","error","error","error","error","error","error","error","error","s80","error","error","error","error","error"
115,"error","r84","r84","r84","error","error","error","error","error","error","error","error","error","r84","s87","r84","r84","error","error","error","error","error","error","error","error","error","error","error","r84","error","s84","s86","error","s85"
116,"error","r84","r84","r84","error","error","error","error","error","error","error","error","error","r84","s87","r84","r84","error","error","error","error","error","error","error","error","error","error","error","r84","error","s84","s86","error","s85"
117,"error","r84","r84","r84","error","error","error","error","error","error","error","error","error","r84","s87","r84","r84","error","error","error","error","error","error","error","error","error","error","error","r84","error","s84","s86","error","s85"
118,"error","r84","r84","r84","error","error","error","error","error","error","error","error","error","r84","s87","r84","r84","error","error","error","error","error","error","error","error","error","error","error","r84","error","s84","s86","error","s85"
119,"error","r78","r78","r78","error","error","error","error","error","s89","error","error","error","r78","r78","r78","r78","error","error","error","error","error","error","error","error","error","s90","error","r78","error","r78","r78","error","r78"
120,"error","r78","r78","r78","error","error","error","error","error","s89","error","error","error","r78","r78","r78","r78","error","error","error","error","error","error","error","error","error","s90","error","r78","error","r78","r78","error","r78"
121,"error","r52","r52","r52","error","error","error","error","error","r52","r52","error","error","r52","r52","r52","r52","error","error","error","error","error","error","error","error","error","r52","error","r52","r52","r52","r52","r52","r52"
122,"error","r91","error","r91","error","error","error","error","error","error","error","error","error","r91","error","s94","r91","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
123,"error","s96","error","r94","error","error","error","error","error","error","error","error","error","r94","error","error","r94","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
124,"r19","error","error","error","error","error","error","error","error","error","error","r19","r19","error","error","error","error","error","error","error","error","error","error","r19","error","r19","error","error","error","error","error","error","error","error"
125,"error","error","error","r26","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
126,"error","r51","r51","r51","s78","error","error","r51","error","r51","r51","error","error","r51","r51","r51","r51","error","error","error","error","error","error","error","error","error","r51","error","r51","r51","r51","r51","r51","r51"
